name,xmin,ymin,xmax,ymax
Samekh,926,40,976,90
Alef,897,40,947,90
Tet,866,40,916,90
Het,839,40,889,90
Tet,811,40,861,90
Samekh,784,40,834,90
Zayin,756,40,806,90
Gimel,734,40,784,90
Taw,673,40,723,90
Bet,649,40,699,90
Tsadi-medial,555,40,605,90
Het,532,40,582,90
Alef,516,40,566,90
Tet,424,40,474,90
Nun-final,393,40,443,90
Tsadi-final,374,40,424,90
He,341,40,391,90
Zayin,262,40,312,90
Het,180,40,230,90
Shin,158,40,208,90
Taw,74,40,124,90
Resh,929,90,979,140
Tsadi-final,911,90,961,140
Ayin,883,90,933,140
Taw,854,90,904,140
Tsadi-medial,833,90,883,140
Zayin,804,90,854,140
Lamed,778,90,828,140
Alef,753,90,803,140
Alef,731,90,781,140
Pe,706,90,756,140
Tet,683,90,733,140
Waw,658,90,708,140
Alef,633,90,683,140
Bet,614,90,664,140
Nun-final,577,90,627,140
Bet,556,90,606,140
Shin,529,90,579,140
Waw,514,90,564,140
Nun-medial,433,90,483,140
Resh,410,90,460,140
Pe,382,90,432,140
Gimel,355,90,405,140
Mem-medial,332,90,382,140
Gimel,308,90,358,140
Waw,284,90,334,140
Gimel,258,90,308,140
Pe,238,90,288,140
Nun-medial,213,90,263,140
Waw,185,90,235,140
Shin,117,90,167,140
Bet,91,90,141,140
Nun-final,916,140,966,190
Zayin,898,140,948,190
Mem,866,140,916,190
Waw,843,140,893,190
Waw,816,140,866,190
Yod,793,140,843,190
Waw,764,140,814,190
Nun-medial,745,140,795,190
Mem-medial,730,140,780,190
Pe,712,140,762,190
Tsadi-final,684,140,734,190
Nun-medial,670,140,720,190
Kaf-final,641,140,691,190
Pe,556,140,606,190
Waw,535,140,585,190
Waw,514,140,564,190
Taw,478,140,528,190
Nun-final,453,140,503,190
Samekh,427,140,477,190
Lamed,399,140,449,190
Pe-final,367,140,417,190
Het,341,140,391,190
Resh,265,140,315,190
Resh,243,140,293,190
Tsadi-final,214,140,264,190
Qof,189,140,239,190
Kaf,165,140,215,190
Samekh,134,140,184,190
Taw,106,140,156,190
Qof,920,190,970,240
Gimel,899,190,949,240
Qof,866,190,916,240
Mem,724,190,774,240
Het,643,190,693,240
Ayin,584,190,634,240
Dalet,552,190,602,240
Zayin,466,190,516,240
Bet,416,190,466,240
Alef,384,190,434,240
He,361,190,411,240
Nun-medial,328,190,378,240
Tet,305,190,355,240
Mem,282,190,332,240
Gimel,263,190,313,240
Mem-medial,241,190,291,240
Ayin,216,190,266,240
Het,183,190,233,240
Resh,154,190,204,240
